radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,255,3,29000,8791,0,32.562789916992,51.271133422852,1000,1,1,1332480002,1332480002,0
GSM,255,3,29000,9601,0,32.429959,51.251461,3030,40,1,1332500617,1350026948,0
GSM,255,3,29000,1361,0,32.48231,51.259881,5115,5,1,1332501061,1344573641,0
GSM,255,3,29000,1601,0,32.427613,51.24853,4193,37,1,1332501061,1350027248,0
GSM,255,3,29000,1662,0,32.415999,51.213931,9128,9,1,1332502009,1350027848,0
GSM,255,3,29000,8603,0,32.424955,51.247643,4014,38,1,1332502009,1350027248,0
GSM,255,3,29000,1603,0,32.427349,51.253195,1238,16,1,1332502937,1350023412,0
GSM,255,3,29000,9603,0,32.423264,51.253556,1090,5,1,1332502937,1350023112,0
GSM,255,3,29000,9602,0,32.424247,51.24858,3308,26,1,1332507514,1350026948,0
GSM,255,3,29000,602,0,32.377245,50.933781,35615,134,1,1332512042,1350028448,0
GSM,255,3,29000,1663,0,32.335724,51.213316,7911,9,1,1332512630,1350028146,0
GSM,255,3,29000,901,0,32.169379,51.186019,13167,11,1,1332512808,1350028446,0
GSM,255,3,29000,1351,0,32.382906,50.906789,34256,123,1,1332512940,1350027848,0
GSM,255,3,29000,981,0,32.128807,51.179424,11244,15,1,1332513091,1350028746,0
GSM,255,3,29000,883,0,31.937814,51.172285,11785,9,1,1332513424,1348215732,0
GSM,255,3,29000,882,0,32.045995,51.164773,7498,13,1,1332513480,1350028748,0
GSM,255,3,29200,962,0,31.879663,51.192365,8280,11,1,1332513701,1349593763,0
GSM,255,3,29100,892,0,32.231826782227,51.196975708008,1000,1,1,1332493069,1332493069,0
GSM,255,3,29000,902,0,32.105352,51.17548,9133,12,1,1332513863,1350028748,0
GSM,255,3,29000,373,0,32.105352,51.17548,9133,12,1,1332513863,1350028748,0
GSM,255,3,29000,982,0,32.107938,51.176121,8746,5,1,1332513863,1348214832,0
GSM,255,3,29000,881,0,32.032299,51.162259,6084,7,1,1332513863,1350028748,0
GSM,255,3,29200,361,0,31.871892,51.226815,14116,14,1,1332513863,1349594365,0
GSM,255,3,29200,8431,0,31.702021,51.296684,35950,37,1,1332514012,1349594065,0
GSM,255,3,29200,432,0,31.681643,51.300679,34610,33,1,1332514104,1349593465,0
GSM,255,3,29200,961,0,31.83988,51.236611,12410,14,1,1332514674,1349594065,0
GSM,255,3,29200,963,0,31.849498,51.218492,9666,12,1,1332514674,1349594365,0
GSM,255,3,29000,911,0,31.953049,51.147537,1000,2,1,1332514767,1342771036,0
GSM,255,3,29200,431,0,31.697389,51.30486,35102,38,1,1332514767,1349594065,0
GSM,255,3,29200,2393,0,31.565899,51.378654,30534,20,1,1332514767,1342777149,0
GSM,255,3,29200,391,0,31.886454,51.102391,8510,8,1,1332514767,1349592565,0
GSM,255,3,29200,8433,0,31.863786,51.193771,3422,3,1,1332514767,1349593765,0
GSM,255,3,29200,362,0,31.796255,51.283132,14287,18,1,1332514968,1349594365,0
GSM,255,3,29200,561,0,31.680013,51.350014,7544,30,1,1332515566,1349595265,0
GSM,255,3,29200,363,0,31.777824,51.302205,8272,13,1,1332515581,1349594965,0
GSM,255,3,29200,9562,0,31.641662,51.37868,5965,16,1,1332515880,1348716888,0
GSM,255,3,29200,9561,0,31.611871,51.400848,6482,20,1,1332516453,1349595865,0
GSM,255,3,29200,9563,0,31.632162,51.392213,2597,6,1,1332516480,1349595565,0
GSM,255,3,29200,4523,0,31.722877,51.330028,6882,8,1,1332516562,1349594665,0
GSM,255,3,29200,1522,0,31.701057,51.329962,4095,6,1,1332516562,1349594965,0
GSM,255,3,29200,4522,0,31.778645,51.313707,2430,3,1,1332516562,1349594365,0
GSM,255,3,29200,1562,0,31.653285,51.36607,8172,31,1,1332516562,1349595565,0
GSM,255,3,29200,1563,0,31.643628,51.376691,4494,22,1,1332516562,1349595565,0
GSM,255,3,29200,8561,0,31.662557,51.354815,6917,15,1,1332516562,1349595265,0
GSM,255,3,29200,4161,0,31.510952,51.427613,9710,15,1,1332516720,1349596165,0
GSM,255,3,29200,4162,0,31.477496,51.423924,11928,21,1,1332517027,1349596465,0
GSM,255,3,29200,4141,0,31.322571,51.426607,14280,30,1,1332517190,1351292592,0
GSM,255,3,29200,563,0,31.590548,51.395201,12687,34,1,1332517473,1349596165,0
GSM,255,3,29200,1561,0,31.585035,51.406416,7770,14,1,1332517473,1349595865,0
GSM,255,3,29200,2162,0,31.533215,51.428672,3662,7,1,1332517473,1349595865,0
GSM,255,3,29200,1523,0,31.575424,51.409846,7948,4,1,1332517473,1349595865,0
GSM,255,3,29200,8082,0,31.328362,51.449235,6388,19,1,1332517681,1349597363,0
GSM,255,3,29200,8012,0,31.306977,51.484618,5263,11,1,1332518187,1351054365,0
GSM,255,3,29200,16462,0,31.314782,51.494664,4749,13,1,1332518284,1350875297,0
GSM,255,3,29200,18021,0,31.29477,51.482967,10165,20,1,1332518419,1350890084,0
GSM,255,3,29200,82,0,31.340627,51.432147,9560,25,1,1332518419,1349597365,0
GSM,255,3,29200,12,0,31.305349,51.474922,8967,28,1,1332518419,1350875205,0
GSM,255,3,29200,1042,0,31.342768,51.510407,6719,13,1,1332518419,1350875805,0
GSM,255,3,29200,9102,0,31.314007,51.496812,4689,9,1,1332518419,1350875505,0
GSM,255,3,29200,9053,0,31.325799,51.509514,1276,12,1,1332518621,1350876105,0
GSM,255,3,29200,81,0,31.30533,51.465083,14938,27,1,1332519355,1350875205,0
